,T_amb,t_des=1,t_des=12,t_des=24
26620,0.4,344.80459637960183,352.6998253692403,369.19195038752633
26621,0.7,342.4795576793246,350.41185987883364,366.9672504670071
26622,0.6,343.25465718107404,351.1748120792831,367.70942815062267
26623,0.7,342.4795576793246,350.41185987883364,366.9672504670071
26624,0.5,344.02967065583385,351.9374679403226,368.4509954751832
26625,0.2,346.35417768119254,354.2236366321241,370.67201479459226
26626,0.2,346.35417768119254,354.2236366321241,370.67201479459226
26627,0.3,345.5794326303258,353.4618822926421,369.93229084091354
26628,0.6,343.25465718107404,351.1748120792831,367.70942815062267
26629,0.4,344.80459637960183,352.6998253692403,369.19195038752633
26630,0.6,343.25465718107404,351.1748120792831,367.70942815062267
26631,0.5,344.02967065583385,351.9374679403226,368.4509954751832
26632,0.6,343.25465718107404,351.1748120792831,367.70942815062267
26633,0.5,344.02967065583385,351.9374679403226,368.4509954751832
26634,-0.6,352.5486467392038,360.30652946598997,376.56737034113775
26635,-0.4,351.00063571454154,358.78769210988355,375.0972988531591
26636,-0.4,351.00063571454154,358.78769210988355,375.0972988531591
26637,-0.5,351.7746937828501,359.5472703600728,375.8326508638982
26638,0.1,347.12882980009215,354.98508630978654,371.41112022446197
26639,0.1,347.12882980009215,354.98508630978654,371.41112022446197
26640,0.0,347.90338725545683,355.74622925996294,372.1496051004714
26641,-0.3,350.22647428508157,358.0277967837074,374.36131627795424
26642,-0.4,351.00063571454154,358.78769210988355,375.0972988531591
26643,-0.6,352.5486467392038,360.30652946598997,376.56737034113775
26644,-0.7,353.3224928366187,361.06546737508376,377.30145530660053
26645,-0.5,351.7746937828501,359.5472703600728,375.8326508638982
26646,-0.4,351.00063571454154,358.78769210988355,375.0972988531591
26647,-0.1,348.67784831581935,356.50706339834744,372.88746740276173
26648,-1.3,357.9632271370197,365.6122343735255,381.6925310293836
26649,-0.4,351.00063571454154,358.78769210988355,375.0972988531591
26650,0.5,344.02967065583385,351.9374679403226,368.4509954751832
26651,1.7,334.7242069310567,342.76649498310394,359.51235820720086
26652,3.2,323.07909958609093,331.247854721185,348.2205958172741
26653,4.3,314.5330072074816,322.7658585279039,339.8602642601122
26654,4.3,314.5330072074816,322.7658585279039,339.8602642601122
26655,3.6,319.97190422835536,328.1667310925986,345.1880804268201
26656,2.6,327.7385948734233,335.8622370393186,352.7526934603677
26657,2.1,331.62008983798995,339.70057888053066,356.51384431419245
26658,2.3,330.0676615804271,338.1660224465339,355.01110505248255
26659,2.1,331.62008983798995,339.70057888053066,356.51384431419245
26660,2.5,328.51500446609595,336.6304228076571,353.50606801707437
26661,2.0,332.39621406371356,340.467460648597,357.2643471832305
26662,1.8,333.9482743011442,342.00042079543846,358.76360794502784
26663,2.1,331.62008983798995,339.70057888053066,356.51384431419245
26664,2.5,328.51500446609595,336.6304228076571,353.50606801707437
26665,3.0,324.63245078285223,332.7869700361002,349.7335354914284
26666,3.0,324.63245078285223,332.7869700361002,349.7335354914284
26667,3.2,323.07909958609093,331.247854721185,348.2205958172741
26668,3.6,319.97190422835536,328.1667310925986,345.1880804268201
26669,4.1,316.08712256484364,324.3100899739316,341.3851794378632
26670,4.5,312.97879510952856,321.2207524246245,338.3332314570894
